"/home/drh/Music/Jimi Hendrix - Purple Haze.mp3","The Jimi Hendrix Experience","Experience Hendrix: The Best Of Jimi Hendrix","Purple Haze"
"/home/drh/Music/Dave McKenna - I'll Be Home for Christmas.mp3","Dave McKenna","A Cool Christmas One","I'll Be Home for Christmas"
"/home/drh/Music/Brain Setzer - Rock This Town.mp3","The Brian Setzer Orchestra","Jump, Jive An' Wail: The Very Best Of The Brian Setzer Orchestra (1994-2000)","Rock This Town (Album Version)"
"/home/drh/Music/Phish - Character Zero.mp3","Phish","Billy Breathes","Character Zero"
"/home/drh/Music/Green Day - Give Me Novacaine.mp3","Green Day","American Idiot","Give Me Novacaine"
"/home/drh/Music/Simon & Garfunkel - Feelin Groovy.mp3","Simon & Garfunkel","The Best Of Simon & Garfunkel","The 59th Street Bridge Song (Feelin' Groovy)"
"/home/drh/Music/Puccini Nessun dorma.mp3","Puccini","Classical Album","Nessun dorma"
"/home/drh/Music/Gwen Stefani - Holla Back Girl.mp3","Gwen Stefani","Love Angel Music Baby","Holla Back Girl"
"/home/drh/Music/Sarah Harmer - Silver Road.mp3","Sarah Harmer","All of Our Names","Silver Road"
"/home/drh/Music/Neil Diamond - Cherry Cherry.mp3","Neil Diamond","Classics The Early Years","Cherry, Cherry"
"/home/drh/Music/Montgomery Gentry - One In Every Crowd.mp3","Montgomery Gentry","Playlist: The Very Best Of Montgomery Gentry","One In Every Crowd"
"/home/drh/Music/Maynard Ferguson - 20 Rue de Madrid.mp3","Maynard Ferguson","The Essential Maynard Ferguson Disc 1","20, Rue de Madrid"
"/home/drh/Music/Lobo - I'd Love You To Want Me.mp3","Lobo","Super Hits of the '70s: Have a Nice Day, Vol. 9","I'd Love You to Want Me"
"/home/drh/Music/Sugarland - Still The Same.mp3","Sugarland","Still The Same","Still The Same"
"/home/drh/Music/Pink Floyd - Waiting For The Worms.mp3","Pink Floyd","The Wall (disc 2)","Waiting For The Worms"
"/home/drh/Music/Mike Curb Congregation - Burning Bridges.mp3","Mike Curb Congregation","Super Hits of the '70s: Have a Nice Day, Vol. 5","Burning Bridges"
"/home/drh/Music/Taylor Swift - Clean.mp3","Taylor Swift","1989 [+digital booklet]","Clean"
"/home/drh/Music/Cincinnati Pops Orchestra - Sing with Us of Christmas.mp3","Cincinnati Pops Orchestra; Erich Kunzel; Indiana University Singing Hoosiers","Christmastime Is Here","Sing with Us of Christmas (medley)"
